lat,lng,elevation
(53.12, 18),46.29714965820312
(53.1248300750533, 18.00243784658275),40.58457183837891
(53.12966010030397, 18.00487624115175),47.26487350463867
(53.13449007573205, 18.0073151839208),51.67216491699219
(53.13932000131761, 18.00975467510382),51.90188980102539
(53.14414987704068, 18.01219471491482),53.2171745300293
(53.14897970288128, 18.01463530356792),57.13119506835938
(53.15380947881943, 18.01707644127733),69.4400634765625
(53.15863920483512, 18.01951812825738),75.70928955078125
(53.16346888090837, 18.02196036472252),74.38665771484375
(53.16829850701913, 18.02440315088727),94.12899780273438
(53.17312808314741, 18.02684648696629),108.7263946533203
(53.17795760927315, 18.02929037317433),94.70272064208984
(53.1827870853763, 18.03173480972623),91.99900817871094
(53.18761651143682, 18.03417979683697),91.9759750366211
(53.19244588743463, 18.03662533472161),93.39945983886719
(53.19727521334966, 18.03907142359533),97.0451431274414
(53.20210448916182, 18.0415180636734),93.95025634765625
(53.206933714851, 18.04396525517122),95.08399963378906
(53.21176289039712, 18.04641299830428),101.2258911132812
(53.21659201578002, 18.04886129328817),95.36018371582031
(53.22142109097961, 18.0513101403386),94.35420989990234
(53.22625011597573, 18.05375953967138),94.45670318603516
(53.23107909074825, 18.05620949150243),86.6148910522461
(53.23590801527698, 18.05865999604778),102.1417617797852
(53.24073688954176, 18.06111105352355),97.4820556640625
(53.24556571352243, 18.06356266414599),109.8428192138672
(53.25039448719878, 18.06601482813143),99.45510864257812
(53.2552232105506, 18.06846754569633),97.83470153808594
(53.26005188355771, 18.07092081705725),108.9168472290039
(53.26488050619987, 18.07337464243086),87.68789672851562
(53.26970907845682, 18.0758290220339),86.54712677001953
(53.27453760030838, 18.07828395608329),85.17171478271484
(53.27936607173424, 18.08073944479599),105.8756408691406
(53.28419449271416, 18.08319548838911),86.04843139648438
(53.28902286322788, 18.08565208707983),84.08905792236328
(53.29385118325509, 18.08810924108547),88.017822265625
(53.2986794527755, 18.09056695062344),90.5170669555664
(53.30350767176882, 18.09302521591127),92.3914794921875
(53.30833584021471, 18.09548403716657),93.61331939697266
(53.31316395809288, 18.09794341460711),94.29378509521484
(53.31799202538296, 18.1004033484507),94.09131622314453
(53.32282004206463, 18.10286383891532),94.28136444091797
(53.32764800811751, 18.10532488621901),93.28055572509766
(53.33247592352127, 18.10778649057995),93.66520690917969
(53.33730378825548, 18.11024865221641),94.521728515625
(53.34213160229977, 18.11271137134677),94.54132080078125
(53.34695936563376, 18.11517464818953),94.93063354492188
(53.35178707823702, 18.11763848296329),96.0761947631836
(53.35661474008916, 18.12010287588675),95.76885223388672
(53.36144235116971, 18.12256782717872),96.20929718017578
(53.36626991145825, 18.12503333705813),96.48074340820312
(53.37109742093434, 18.12749940574404),97.3472671508789
(53.37592487957749, 18.12996603345555),93.56613159179688
(53.38075228736725, 18.13243322041193),95.14051818847656
(53.38557964428313, 18.13490096683252),93.34910583496094
(53.39040695030464, 18.1373692729368),93.83771514892578
(53.39523420541126, 18.13983813894435),97
(53.40006140958251, 18.14230756507485),98.4760971069336
(53.40488856279784, 18.14477755154808),97.12313079833984
(53.40971566503671, 18.14724809858396),95.42279052734375
(53.41454271627859, 18.14971920640249),98.90150451660156
(53.41936971650291, 18.15219087522378),99.02201080322266
(53.42419666568912, 18.15466310526807),100
(53.42902356381662, 18.15713589675569),103.3121337890625
(53.43385041086485, 18.1596092499071),100.2787399291992
(53.43867720681317, 18.16208316494284),96.47875213623047
(53.44350395164101, 18.16455764208357),98.23863220214844
(53.44833064532774, 18.16703268155009),116.1152267456055
(53.45315728785272, 18.16950828356325),113.8540267944336
(53.45798387919531, 18.17198444834407),99.48065185546875
(53.46281041933487, 18.17446117611364),107.9345092773438
(53.46763690825073, 18.17693846709318),98.04266357421875
(53.47246334592221, 18.179416321504),97.91729736328125
(53.47728973232862, 18.18189473956754),98.9830551147461
(53.4821160674493, 18.18437372150533),99.46528625488281
(53.48694235126353, 18.18685326753904),97.00282287597656
(53.49176858375056, 18.18933337789042),105.100715637207
(53.49659476488971, 18.19181405278134),107.0636978149414
(53.50142089466022, 18.19429529243378),112.7812805175781
(53.50624697304134, 18.19677709706984),109.4512710571289
(53.51107300001233, 18.19925946691171),106.8298492431641
(53.51589897555242, 18.20174240218171),106.9748382568359
(53.52072489964079, 18.20422590310226),102.8475189208984
(53.52555077225669, 18.20670996989589),106.1617813110352
(53.53037659337931, 18.20919460278525),100.5653915405273
(53.53520236298783, 18.21167980199309),93.95072937011719
(53.54002808106145, 18.21416556774227),96.95626831054688
(53.54485374757931, 18.21665190025577),104.7800216674805
(53.54967936252059, 18.21913879975666),103.5155487060547
(53.55450492586439, 18.22162626646817),106.9168548583984
(53.55933043758989, 18.22411430061358),102.6776885986328
(53.5641558976762, 18.22660290241631),108.8119354248047
(53.56898130610244, 18.2290920720999),110.3839263916016
(53.57380666284769, 18.23158180988798),98.4236831665039
(53.57863196789106, 18.23407211600431),99.66114807128906
(53.58345722121162, 18.23656299067275),100.8745269775391
(53.58828242278845, 18.23905443411728),74.92597961425781
(53.5931075726006, 18.24154644656197),80.50265502929688
(53.59793267062713, 18.24403902823102),75.88313293457031
(53.60275771684707, 18.24653217934876),79.67298889160156
(53.60758271123944, 18.24902590013959),87.81005859375
(53.61240765378327, 18.25152019082803),96.0179443359375
(53.61723254445755, 18.25401505163875),92.20478057861328
(53.62205738324127, 18.25651048279649),92.45611572265625
(53.62688217011343, 18.25900648452612),106.7698593139648
(53.631706905053, 18.26150305705261),109.3143005371094
(53.63653158803893, 18.26400020060106),109.3304061889648
(53.64135621905018, 18.26649791539668),105.6401901245117
(53.64618079806569, 18.26899620166477),107.8525543212891
(53.6510053250644, 18.27149505963077),108.4691467285156
(53.65582980002519, 18.27399448952021),110.6702651977539
(53.66065422292699, 18.27649449155873),107.3288269042969
(53.6654785937487, 18.27899506597211),109.6291809082031
(53.67030291246921, 18.28149621298623),110.956184387207
(53.67512717906738, 18.28399793282707),113.0348663330078
(53.67995139352207, 18.28650022572073),109.4324798583984
(53.68477555581216, 18.28900309189343),111.9798126220703
(53.68959966591646, 18.29150653157149),109.4705581665039
(53.69442372381381, 18.29401054498135),103.4540405273438
(53.69924772948304, 18.29651513234956),100.6913375854492
(53.70407168290294, 18.2990202939028),107.4948196411133
(53.70889558405233, 18.30152602986783),113.6242370605469
(53.71371943290998, 18.30403234047155),113.2737045288086
(53.71854322945466, 18.30653922594096),110.5898742675781
(53.72336697366516, 18.30904668650319),114.9560012817383
(53.72819066552022, 18.31155472238545),112.8202209472656
(53.73301430499857, 18.3140633338151),110.8077087402344
(53.73783789207896, 18.31657252101959),111.2253799438477
(53.74266142674011, 18.3190822842265),99.1839370727539
(53.74748490896071, 18.3215926236635),112.8961029052734
(53.75230833871947, 18.3241035395584),104.7502746582031
(53.75713171599509, 18.3266150321391),109.4011535644531
(53.76195504076622, 18.32912710163364),113.487907409668
(53.76677831301155, 18.33163974827015),110.3975372314453
(53.77160153270972, 18.33415297227688),113.3178558349609
(53.77642469983938, 18.33666677388221),113.4960403442383
(53.78124781437916, 18.33918115331461),91
(53.78607087630769, 18.34169611080267),104.4447402954102
(53.79089388560357, 18.34421164657511),113.7688217163086
(53.7957168422454, 18.34672776086076),105.3212966918945
(53.80053974621175, 18.34924445388854),117.886116027832
(53.80536259748123, 18.35176172588751),113
(53.81018539603239, 18.35427957708684),113.3570327758789
(53.81500814184378, 18.35679800771581),115.8356018066406
(53.81983083489394, 18.35931701800381),119.3159561157227
(53.82465347516143, 18.36183660818036),112.3022155761719
(53.82947606262473, 18.36435677847507),112.6375198364258
(53.83429859726238, 18.3668775291177),122.0846099853516
(53.83912107905287, 18.36939886033809),113.6552581787109
(53.84394350797469, 18.37192077236621),123.5700378417969
(53.8487658840063, 18.37444326543215),108.0365905761719
(53.85358820712619, 18.37696633976611),104.4136810302734
(53.85841047731281, 18.3794899955984),105.927978515625
(53.86323269454457, 18.38201423315945),103.7349472045898
(53.86805485879994, 18.38453905267981),106.4491119384766
(53.87287697005733, 18.38706445439013),110.8660736083984
(53.87769902829515, 18.38959043852121),99.10509490966797
(53.88252103349179, 18.39211700530391),113.0681228637695
(53.88734298562564, 18.39464415496926),115.1313323974609
(53.89216488467506, 18.39717188774837),98.15373229980469
(53.89698673061846, 18.39970020387249),114.2537460327148
(53.90180852343415, 18.40222910357297),103.1803131103516
(53.90663026310048, 18.40475858708126),100
(53.91145194959579, 18.40728865462898),112
(53.91627358289839, 18.4098193064478),115.507194519043
(53.9210951629866, 18.41235054276957),110.9290008544922
(53.92591668983871, 18.4148823638262),103.1900253295898
(53.930738163433, 18.41741476984974),107.1942672729492
(53.93555958374774, 18.41994776107236),96.30306243896484
(53.94038095076122, 18.42248133772636),106.3189849853516
(53.94520226445165, 18.42501550004412),107.1476135253906
(53.9500235247973, 18.42755024825815),104.8868789672852
(53.9548447317764, 18.43008558260111),105.3377304077148
(53.95966588536715, 18.43262150330572),100.2352981567383
(53.96448698554778, 18.43515801060486),110.0391540527344
(53.96930803229645, 18.43769510473151),119.732292175293
(53.97412902559137, 18.44023278591876),122.7782592773438
(53.9789499654107, 18.44277105439983),116.3611679077148
(53.98377085173261, 18.44530991040807),108.1291809082031
(53.98859168453524, 18.44784935417691),111.7397003173828
(53.99341246379673, 18.45038938593993),108.3270874023438
(53.99823318949522, 18.45293000593081),106.4002380371094
(54.00305386160879, 18.45547121438333),105.9425277709961
(54.00787448011559, 18.45801301153145),106.2364730834961
(54.01269504499367, 18.46055539760917),108.8433380126953
(54.01751555622115, 18.46309837285066),104.2122650146484
