lat,lng,elevation
(53.77, 20.39),141.0419464111328
(53.77268293553884, 20.3828229967413),154.69873046875
(53.77536544243038, 20.37564507605041),154.8773345947266
(53.77804752057769, 20.36846623786656),122.4970397949219
(53.78072916988391, 20.36128648212907),124.964241027832
(53.78341039025209, 20.35410580877735),165.6227874755859
(53.78609118158528, 20.34692421775087),150.06396484375
(53.78877154378657, 20.33974170898916),168.8458099365234
(53.79145147675897, 20.33255828243182),167.2114715576172
(53.79413098040551, 20.32537393801855),146.6384429931641
(53.7968100546292, 20.31818867568909),152.3703308105469
(53.79948869933307, 20.31100249538328),116.807258605957
(53.80216691442008, 20.30381539704101),113.7963638305664
(53.80484469979321, 20.29662738060225),109.2519149780273
(53.8075220553554, 20.28943844600704),106.7556991577148
(53.81019898100964, 20.2822485931955),106.6323394775391
(53.81287547665885, 20.27505782210781),105.7777481079102
(53.81555154220592, 20.26786613268423),105.3319091796875
(53.81822717755381, 20.2606735248651),108.8237915039062
(53.82090238260538, 20.25347999859081),115.4484634399414
(53.82357715726354, 20.24628555380183),120.8432540893555
(53.82625150143112, 20.23909019043873),130.6619720458984
(53.82892541501102, 20.23189390844212),142.0819244384766
(53.83159889790606, 20.22469670775268),155.7769927978516
(53.83427195001909, 20.2174985883112),152.1193389892578
(53.83694457125292, 20.2102995500585),145.1980133056641
(53.83961676151035, 20.20309959293551),138.2169952392578
(53.84228852069417, 20.19589871688319),128.1676940917969
(53.84495984870717, 20.1886969218426),136.1788635253906
(53.84763074545212, 20.18149420775489),137.9526519775391
(53.85030121083177, 20.17429057456124),113.5860900878906
(53.85297124474886, 20.16708602220294),95.95913696289062
(53.85564084710612, 20.15988055062134),85.86103820800781
(53.85831001780627, 20.15267415975785),83.10035705566406
(53.860978756752, 20.14546684955398),93.74576568603516
(53.86364706384602, 20.13825861995128),90.76506805419922
(53.86631493899098, 20.1310494708914),118.6837921142578
(53.86898238208958, 20.12383940231607),110.5367736816406
(53.87164939304444, 20.11662841416705),110.0664596557617
(53.87431597175822, 20.10941650638621),112.2390518188477
(53.87698211813354, 20.1022036789155),117.0852890014648
