lat,lng,elevation
(29.24, 88.89),3842.50439453125
(29.23169015469377, 88.87667452608525),3887.455322265625
(29.2233789888895, 88.86335121521526),3970.884033203125
(29.21506650325086, 88.8500300666463),3866.728759765625
(29.20675269844136, 88.83671107963445),3873.870361328125
(29.19843757512424, 88.8233942534357),3867.400634765625
(29.19012113396254, 88.8100795873058),3878.923583984375
(29.18180337561909, 88.79676708050043),3870.658203125
(29.17348430075647, 88.78345673227507),3870.689453125
(29.16516391003705, 88.77014854188505),3874.2216796875
(29.156842204123, 88.75684250858554),3882.77001953125
(29.14851918367624, 88.74353863163158),3888.346435546875
(29.14019484935849, 88.73023691027804),3945.451171875
(29.13186920183123, 88.71693734377966),4059.80078125
(29.12354224175575, 88.70363993139101),3932.54296875
(29.11521396979308, 88.6903446723665),4046.790771484375
(29.10688438660405, 88.67705156596041),4329.44580078125
(29.09855349284928, 88.66376061142688),4549.162109375
(29.09022128918913, 88.65047180801986),4351.65478515625
(29.0818877762838, 88.63718515499319),4173.88525390625
(29.07355295479323, 88.62390065160054),4386.97119140625
(29.06521682537711, 88.61061829709544),4733.15478515625
(29.05687938869497, 88.59733809073128),4816.59619140625
(29.0485406454061, 88.58406003176128),4369.396484375
(29.04020059616955, 88.57078411943853),4189.89404296875
(29.03185924164417, 88.55751035301597),4046.5234375
(29.02351658248857, 88.5442387317464),4013.60400390625
(29.01517261936116, 88.53096925488246),4002.001708984375
(29.00682735292012, 88.51770192167668),4194.517578125
(28.9984807838234, 88.50443673138139),4057.6865234375
(28.99013291272875, 88.49117368324882),4324.08984375
(28.9817837402937, 88.47791277653103),4627.4306640625
(28.97343326717553, 88.46465401047996),4566.88623046875
(28.96508149403132, 88.4513973843474),4553.09423828125
(28.95672842151794, 88.43814289738496),4197.068359375
(28.94837405029203, 88.42489054884419),4632.19482421875
(28.94001838100999, 88.41164033797644),4646.69189453125
(28.93166141432803, 88.39839226403288),4275.22119140625
(28.92330315090213, 88.38514632626463),4288.20458984375
(28.91494359138803, 88.37190252392263),4725.04345703125
(28.90658273644128, 88.35866085625767),5342.388671875
(28.89822058671722, 88.34542132252041),5655.14501953125
(28.8898571428709, 88.33218392196135),5420.81982421875
(28.88149240555724, 88.31894865383087),5637.4130859375
(28.87312637543087, 88.30571551737926),5381.75634765625
(28.86475905314624, 88.29248451185659),5401.875
(28.85639043935756, 88.27925563651281),5642.6533203125
(28.84802053471884, 88.26602889059778),5615.4140625
(28.83964933988384, 88.25280427336119),5594.5615234375
(28.83127685550614, 88.23958178405259),5445.470703125
(28.82290308223906, 88.2263614219214),5410.64794921875
(28.81452802073573, 88.21314318621691),4876.12744140625
(28.80615167164903, 88.19992707618829),4854.58056640625
(28.79777403563166, 88.18671309108454),4916.60400390625
(28.78939511333607, 88.17350123015453),5259.7431640625
(28.78101490541451, 88.16029149264705),5569.1142578125
(28.77263341251897, 88.14708387781069),5551.48486328125
(28.76425063530129, 88.13387838489393),5625.4443359375
(28.75586657441302, 88.12067501314513),5627.89501953125
(28.74748123050555, 88.10747376181253),5517.533203125
(28.73909460422999, 88.0942746301442),5795.91943359375
(28.73070669623729, 88.0810776173881),5663.021484375
(28.72231750717815, 88.06788272279206),5465.32080078125
