lat,lng,elevation
(49.29, 19.94),844.8404541015625
(49.28617908661499, 19.94455849715628),863.5541381835938
(49.28235799394481, 19.94911628784225),873.0611572265625
(49.27853672204142, 19.95367337222954),949.188720703125
(49.27471527095676, 19.95822975048974),1019.95751953125
(49.27089364074277, 19.96278542279437),1201.657104492188
(49.26707183145135, 19.96734038931496),1286.536743164062
(49.2632498431344, 19.97189465022297),1156.673217773438
(49.2594276758438, 19.97644820568986),1184.74853515625
(49.25560532963141, 19.98100105588699),1285.32958984375
(49.25178280454907, 19.98555320098574),1475.656616210938
(49.24796010064862, 19.99010464115743),1424.261962890625
(49.24413721798184, 19.99465537657333),1639.538330078125
(49.24031415660056, 19.9992054074047),1594.536499023438
(49.23649091655654, 20.00375473382274),1595.8212890625
(49.23266749790152, 20.00830335599862),1705.519897460938
(49.2288439006873, 20.01285127410348),1829.014282226562
(49.22502012496555, 20.01739848830841),1903.55029296875
(49.221196170788, 20.02194499878446),1974.433471679688
(49.21737203820635, 20.02649080570266),2089.1806640625
(49.21354772727226, 20.031035909234),1874.597778320312
(49.20972323803741, 20.0355803095494),1690.130981445312
(49.20589857055342, 20.04012400681979),1708.936279296875
(49.20207372487194, 20.04466700121603),2037.717041015625
(49.19824870104457, 20.04920929290896),1967.720825195312
(49.19442349912289, 20.05375088206937),1864.600952148438
(49.1905981191585, 20.05829176886801),2045.778198242188
(49.18677256120293, 20.0628319534756),2142.37548828125
(49.18294682530774, 20.06737143606282),2354.056640625
(49.17912091152446, 20.07191021680034),2254.8046875
(49.17529481990458, 20.07644829585874),2023.9169921875
(49.1714685504996, 20.08098567340859),2051.62451171875
(49.16764210336101, 20.08552234962044),2083.213134765625
(49.16381547854026, 20.09005832466476),2013.0380859375
(49.15998867608879, 20.09459359871202),1800.807983398438
(49.15616169605803, 20.09912817193264),1959.657348632812
(49.15233453849938, 20.103662044497),2172.616455078125
(49.14850720346423, 20.10819521657544),2029.561157226562
(49.14467969100397, 20.11272768833826),1857.354614257812
(49.14085200116993, 20.11725945995575),1678.664916992188
(49.13702413401351, 20.12179053159812),1469.202392578125
(49.13319608958597, 20.12632090343557),1352.544067382812
(49.12936786793866, 20.13085057563826),1270.114013671875
(49.12553946912286, 20.1353795483763),1194.65576171875
(49.12171089318984, 20.13990782181979),1115.666870117188
(49.11788214019086, 20.14443539613875),1040.652709960938
(49.11405321017716, 20.14896227150319),1003.695007324219
(49.11022410319998, 20.15348844808308),972.3311157226562
(49.10639481931052, 20.15801392604836),933.1380615234375
(49.10256535855999, 20.16253870556892),882.5648803710938
(49.09873572099953, 20.16706278681461),860.976318359375
(49.09490590668032, 20.17158616995525),850.8349609375
(49.09107591565351, 20.17610885516062),797.1796264648438
(49.08724574797021, 20.18063084260047),780.331298828125
(49.08341540368155, 20.1851521324445),766.3878173828125
(49.0795848828386, 20.18967272486237),763.6477661132812
(49.07575418549244, 20.19419262002372),751.5508422851562
(49.07192331169414, 20.19871181809814),735.081298828125
(49.06809226149474, 20.20323031925518),725.7000732421875
(49.06426103494528, 20.20774812366438),721.3185424804688
(49.06042963209674, 20.21226523149519),718.1068725585938
(49.05659805300014, 20.21678164291708),712.6981811523438
(49.05276629770646, 20.22129735809943),729.366455078125
(49.04893436626663, 20.22581237721162),719.0435180664062
(49.04510225873162, 20.230326700423),717.3539428710938
(49.04126997515234, 20.23484032790282),707.8381958007812
(49.03743751557973, 20.23935325982038),718.4332885742188
(49.03360488006464, 20.24386549634486),741.6776123046875
(49.02977206865799, 20.24837703764546),768.3548583984375
(49.02593908141063, 20.25288788389132),749.0814208984375
(49.02210591837339, 20.25739803525154),764.8509521484375
(49.01827257959712, 20.2619074918952),874.4395751953125
(49.01443906513261, 20.26641625399132),901.579345703125
(49.01060537503069, 20.2709243217089),788.626708984375
(49.00677150934209, 20.27543169521688),672.31103515625
(49.00293746811761, 20.2799383746842),618.0574340820312
(48.99910325140799, 20.28444436027972),623.2603759765625
(48.99526885926395, 20.2889496521723),632.4183959960938
(48.99143429173621, 20.29345425053073),618.6201782226562
(48.98759954887547, 20.29795815552379),635.2022094726562
(48.98376463073241, 20.30246136732021),624.323974609375
(48.97992953735768, 20.30696388608867),647.9041748046875
(48.97609426880194, 20.31146571199784),714.4902954101562
(48.97225882511583, 20.31596684521633),799.7412719726562
(48.96842320634995, 20.32046728591272),883.583740234375
(48.96458741255491, 20.32496703425556),814.659912109375
(48.96075144378128, 20.32946609041335),856.4970092773438
(48.95691530007963, 20.33396445455456),705.3232421875
(48.95307898150051, 20.33846212684762),759.779541015625
(48.94924248809446, 20.34295910746092),774.36328125
(48.94540581991198, 20.34745539656283),588.3359375
(48.94156897700359, 20.35195099432164),649.8084716796875
(48.93773195941976, 20.35644590090567),659.2796630859375
(48.93389476721097, 20.36094011648313),745.9146118164062
(48.93005740042766, 20.36543364122224),807.2075805664062
(48.92621985912026, 20.36992647529116),884.5081787109375
(48.92238214333921, 20.37441861885804),987.1265258789062
(48.91854425313489, 20.37891007209095),991.8270874023438
(48.91470618855769, 20.38340083515796),1021.851623535156
(48.91086794965799, 20.3878909082271),995.6777954101562
(48.90702953648614, 20.39238029146632),908.4811401367188
(48.90319094909248, 20.3968689850436),753.8355712890625
(48.89935218752732, 20.40135698912682),725.6423950195312
(48.89551325184095, 20.40584430388385),904.9188232421875
(48.8916741420837, 20.41033092948253),1079.317749023438
(48.88783485830582, 20.41481686609067),1070.432861328125
(48.88399540055754, 20.41930211387599),1060.9677734375
(48.88015576888914, 20.42378667300624),918.1427612304688
(48.87631596335083, 20.4282705436491),889.3802490234375
(48.87247598399281, 20.43275372597219),887.6849365234375
(48.86863583086527, 20.43723622014314),889.0169067382812
(48.8647955040184, 20.44171802632952),1103.2314453125
(48.86095500350233, 20.44619914469885),1047.897705078125
(48.85711432936721, 20.45067957541863),1047.728515625
(48.85327348166318, 20.45515931865632),887.7463989257812
(48.84943246044034, 20.45963837457934),828.1544189453125
(48.84559126574878, 20.46411674335506),714.7255859375
(48.84174989763858, 20.46859442515085),840.957763671875
(48.83790835615981, 20.473071420134),955.8602294921875
(48.8340666413625, 20.47754772847178),1102.525634765625
(48.83022475329668, 20.48202335033144),907.4623413085938
(48.82638269201236, 20.48649828588016),744.9096069335938
(48.82254045755955, 20.4909725352851),692.1718139648438
(48.81869804998821, 20.49544609871339),631.5408325195312
(48.81485546934832, 20.4999189763321),715.20556640625
(48.81101271568981, 20.50439116830829),841.0399169921875
(48.80716978906263, 20.50886267480896),975.4708862304688
(48.80332668951667, 20.51333349600109),980.3883056640625
(48.79948341710186, 20.51780363205161),1035.345947265625
(48.79563997186806, 20.52227308312741),1162.855590820312
(48.79179635386514, 20.52674184939535),1173.74755859375
(48.78795256314296, 20.53120993102226),1176.349853515625
(48.78410859975133, 20.53567732817493),1215.508422851562
(48.7802644637401, 20.5401440410201),1080.944702148438
(48.77642015515904, 20.54461006972447),1039.111694335938
(48.77257567405796, 20.54907541445473),951.9747314453125
(48.76873102048662, 20.55354007537751),1134.410034179688
(48.76488619449477, 20.55800405265941),1092.470581054688
